Age,Height,Weight,Body_Type,Index,Shape
56,194,72,Ectomorph,0,slender
69,151,68,Ectomorph,0,slender
46,176,58,Ectomorph,0,slender
32,180,84,Ectomorph,0,slender
60,185,70,Ectomorph,0,slender
25,185,58,Ectomorph,0,slender
78,175,77,Ectomorph,0,slender
38,192,56,Ectomorph,0,slender
56,176,65,Ectomorph,0,slender
75,154,65,Ectomorph,0,slender
36,169,82,Ectomorph,0,slender
40,160,53,Ectomorph,0,slender
28,159,53,Ectomorph,0,slender
28,189,88,Ectomorph,0,slender
41,187,89,Ectomorph,0,slender
70,155,66,Ectomorph,0,slender
53,157,86,Ectomorph,0,slender
57,172,88,Ectomorph,0,slender
41,196,78,Ectomorph,0,slender
20,175,85,Ectomorph,0,slender
39,195,87,Ectomorph,0,slender
70,192,88,Ectomorph,0,slender
19,161,86,Ectomorph,0,slender
41,175,84,Ectomorph,0,slender
61,162,56,Ectomorph,0,slender
47,189,76,Ectomorph,0,slender
55,167,77,Ectomorph,0,slender
19,174,71,Ectomorph,0,slender
77,182,63,Ectomorph,0,slender
38,196,56,Ectomorph,0,slender
50,189,86,Ectomorph,0,slender
29,192,71,Ectomorph,0,slender
75,161,54,Ectomorph,0,slender
39,193,51,Ectomorph,0,slender
78,185,76,Ectomorph,0,slender
61,197,70,Ectomorph,0,slender
42,153,87,Ectomorph,0,slender
66,154,64,Ectomorph,0,slender
44,186,70,Ectomorph,0,slender
76,157,59,Ectomorph,0,slender
59,191,72,Ectomorph,0,slender
45,198,88,Ectomorph,0,slender
77,177,54,Ectomorph,0,slender
33,180,50,Ectomorph,0,slender
32,158,62,Ectomorph,0,slender
79,178,70,Ectomorph,0,slender
79,163,75,Ectomorph,0,slender
64,189,70,Ectomorph,0,slender
79,190,67,Ectomorph,0,slender
68,171,86,Ectomorph,0,slender
61,160,81,Ectomorph,0,slender
72,172,85,Ectomorph,0,slender
69,150,66,Ectomorph,0,slender
74,195,84,Ectomorph,0,slender
20,186,60,Ectomorph,0,slender
54,170,70,Ectomorph,0,slender
68,175,75,Ectomorph,0,slender
24,195,53,Ectomorph,0,slender
38,185,83,Ectomorph,0,slender
26,172,67,Ectomorph,0,slender
56,150,89,Ectomorph,0,slender
35,189,84,Ectomorph,0,slender
21,164,78,Ectomorph,0,slender
42,170,78,Ectomorph,0,slender
77,196,87,Ectomorph,0,slender
31,158,70,Ectomorph,0,slender
67,158,62,Ectomorph,0,slender
75,159,66,Ectomorph,0,slender
26,175,58,Ectomorph,0,slender
43,190,50,Ectomorph,0,slender
70,184,51,Ectomorph,0,slender
19,174,78,Ectomorph,0,slender
37,175,82,Ectomorph,0,slender
45,160,59,Ectomorph,0,slender
64,187,89,Ectomorph,0,slender
77,151,70,Ectomorph,0,slender
24,156,77,Ectomorph,0,slender
61,167,60,Ectomorph,0,slender
78,176,83,Ectomorph,0,slender
25,183,57,Ectomorph,0,slender
64,176,71,Ectomorph,0,slender
52,166,57,Ectomorph,0,slender
31,192,64,Ectomorph,0,slender
34,193,66,Ectomorph,0,slender
53,173,72,Ectomorph,0,slender
67,174,73,Ectomorph,0,slender
57,156,68,Ectomorph,0,slender
21,155,54,Ectomorph,0,slender
19,173,81,Ectomorph,0,slender
79,182,50,Ectomorph,0,slender
23,198,72,Ectomorph,0,slender
71,178,86,Ectomorph,0,slender
59,192,57,Ectomorph,0,slender
21,171,62,Ectomorph,0,slender
71,175,57,Ectomorph,0,slender
46,177,72,Ectomorph,0,slender
35,199,50,Ectomorph,0,slender
43,170,73,Ectomorph,0,slender
61,198,84,Ectomorph,0,slender
51,156,73,Ectomorph,0,slender
27,166,66,Ectomorph,0,slender
79,169,54,Ectomorph,0,slender
53,190,69,Ectomorph,0,slender
31,198,70,Ectomorph,0,slender
48,169,89,Ectomorph,0,slender
65,171,80,Ectomorph,0,slender
32,177,85,Ectomorph,0,slender
25,189,60,Ectomorph,0,slender
31,198,64,Ectomorph,0,slender
40,156,68,Ectomorph,0,slender
77,150,56,Ectomorph,0,slender
74,181,77,Ectomorph,0,slender
79,162,54,Ectomorph,0,slender
57,179,54,Ectomorph,0,slender
38,172,79,Ectomorph,0,slender
33,168,81,Ectomorph,0,slender
62,181,57,Ectomorph,0,slender
35,179,59,Ectomorph,0,slender
64,178,87,Ectomorph,0,slender
70,198,81,Ectomorph,0,slender
41,194,77,Ectomorph,0,slender
43,178,66,Ectomorph,0,slender
42,179,80,Ectomorph,0,slender
77,165,57,Ectomorph,0,slender
77,189,89,Ectomorph,0,slender
77,168,74,Ectomorph,0,slender
62,167,58,Ectomorph,0,slender
58,150,51,Ectomorph,0,slender
46,163,64,Ectomorph,0,slender
32,196,52,Ectomorph,0,slender
62,199,85,Ectomorph,0,slender
18,151,53,Ectomorph,0,slender
42,177,63,Ectomorph,0,slender
24,198,74,Ectomorph,0,slender
26,199,59,Ectomorph,0,slender
41,179,70,Ectomorph,0,slender
18,187,85,Ectomorph,0,slender
61,153,61,Ectomorph,0,slender
25,150,76,Ectomorph,0,slender
41,157,89,Ectomorph,0,slender
28,178,51,Ectomorph,0,slender
68,188,62,Ectomorph,0,slender
34,152,81,Ectomorph,0,slender
25,181,80,Ectomorph,0,slender
52,159,65,Ectomorph,0,slender
52,159,81,Ectomorph,0,slender
50,168,81,Ectomorph,0,slender
76,195,83,Ectomorph,0,slender
22,183,60,Ectomorph,0,slender
59,182,59,Ectomorph,0,slender
56,172,64,Ectomorph,0,slender
75,177,66,Ectomorph,0,slender
58,181,89,Ectomorph,0,slender
45,199,67,Ectomorph,0,slender
24,156,58,Ectomorph,0,slender
26,178,74,Ectomorph,0,slender
25,157,89,Ectomorph,0,slender
29,150,63,Ectomorph,0,slender
51,152,74,Ectomorph,0,slender
50,173,71,Ectomorph,0,slender
65,172,79,Ectomorph,0,slender
72,157,69,Ectomorph,0,slender
40,196,70,Ectomorph,0,slender
79,186,81,Ectomorph,0,slender
41,152,70,Ectomorph,0,slender
54,182,84,Ectomorph,0,slender
52,177,81,Ectomorph,0,slender
61,196,79,Ectomorph,0,slender
57,157,88,Ectomorph,0,slender
39,183,61,Ectomorph,0,slender
44,184,67,Ectomorph,0,slender
52,181,70,Ectomorph,0,slender
18,173,62,Ectomorph,0,slender
52,163,70,Ectomorph,0,slender
54,181,57,Ectomorph,0,slender
64,195,89,Ectomorph,0,slender
31,192,56,Ectomorph,0,slender
20,165,72,Ectomorph,0,slender
18,153,81,Ectomorph,0,slender
22,186,60,Ectomorph,0,slender
43,170,71,Ectomorph,0,slender
72,163,71,Ectomorph,0,slender
31,180,74,Ectomorph,0,slender
56,197,71,Ectomorph,0,slender
44,167,77,Ectomorph,0,slender
26,156,78,Ectomorph,0,slender
32,159,62,Ectomorph,0,slender
32,156,67,Ectomorph,0,slender
43,182,51,Ectomorph,0,slender
59,172,78,Ectomorph,0,slender
77,170,70,Ectomorph,0,slender
30,168,64,Ectomorph,0,slender
68,197,76,Ectomorph,0,slender
49,168,80,Ectomorph,0,slender
56,185,64,Ectomorph,0,slender
66,178,72,Ectomorph,0,slender
69,167,73,Ectomorph,0,slender
78,151,62,Ectomorph,0,slender
49,150,71,Ectomorph,0,slender
21,196,86,Ectomorph,0,slender
47,154,82,Ectomorph,0,slender
54,169,52,Ectomorph,0,slender
40,160,68,Ectomorph,0,slender
56,191,72,Ectomorph,0,slender
62,151,78,Ectomorph,0,slender
32,152,79,Ectomorph,0,slender
60,172,88,Ectomorph,0,slender
46,161,74,Ectomorph,0,slender
53,169,86,Ectomorph,0,slender
